round,condition,auc,f1,evasion_rate,bertscore_f1,mean_perplexity
0,condition_A,0.9894000000000001,0.9375,,,
1,condition_B,0.8980000000000001,0.6818181818181818,0.74,,
2,condition_B,0.8988,0.7086614173228346,0.64,,
3,condition_B,0.8980000000000001,0.7377049180327869,0.54,,
1,condition_C,0.9712,0.9375,0.02,,
2,condition_C,0.9748,0.9375,0.02,,
3,condition_C,0.9823999999999999,0.9473684210526315,0.0,,
1,condition_D,0.9712,0.9375,0.02,,
2,condition_D,0.9748,0.9375,0.02,,
3,condition_D,0.9823999999999999,0.9473684210526315,0.0,,
